"","model_1_f1","model_1_f2","model_1_f3","model_1_f4"
"141",0.860519399524185,0.805456019542916,0.627933450083665,0.85712567338327
"142",0.86126543156868,0.833009298939743,0.655965121819619,0.857207741598722
"143",0.864573395798586,0.832219068353064,0.652002026606293,0.859954985456325
"144",0.857131098536098,0.829905181962706,0.624571299106434,0.866762320918744
"145",0.860483654887732,0.826459868855542,0.605379674403978,0.873147459053498
"146",0.85956546228978,0.840393034791017,0.586916413174726,0.872752171380714
"147",0.863313883103282,0.833637389453719,0.650448793718388,0.867947873356841
"148",0.878292304402326,0.825996822101884,0.660222582505961,0.862410538550654
"149",0.873632421262328,0.82690353364417,0.663879557417672,0.870271060438399
"150",0.876314698162924,0.821308256875555,0.650682032726082,0.866184736122693
"151",0.884740944597972,0.842234464653469,0.686240071653743,0.870301090123568
"152",0.880127587585254,0.842024890080863,0.661772375102833,0.854476541596377
"153",0.864913623018769,0.837194152692241,0.668956896723326,0.857959720244798
"154",0.859232122346519,0.823235241217697,0.682445275003622,0.852454035593844
"155",0.862500718058314,0.821124328868103,0.69758457243833,0.843539607283239
"156",0.844750017194596,0.832476347821626,0.663067412095749,0.851352778868271
"157",0.8475654086383,0.8220315220033,0.653056152117617,0.848130436093518
"158",0.836199909516996,0.819855371499261,0.661011315281887,0.848917403535391
"159",0.856051688228138,0.813654989544947,0.662147188329843,0.861312676876676
"160",0.853624242038495,0.817240303824275,0.643463879289574,0.867678439692403
"161",0.855898998871458,0.815530046884335,0.665832699921938,0.868879986698282
"162",0.850708471819675,0.822008393667037,0.684102336098933,0.86715661944041
"163",0.865471711464082,0.818144683105682,0.660431526033132,0.860789667878853
"164",0.864765704409756,0.801203964835255,0.662199345649543,0.858845290917003
"165",0.868347678212406,0.807901827406314,0.642906933127936,0.851765478784264
"166",0.877037707799001,0.818513516411495,0.692963568144564,0.84282028560992
"167",0.872431031938508,0.817206223300759,0.688145180303241,0.854874699838095
"168",0.87275327095003,0.832264499398086,0.679815768184805,0.866751115360825
"169",0.872052315908103,0.824432073488405,0.671888241991136,0.862123193365364
"170",0.866229283406997,0.809756829279731,0.673377470641416,0.864893217165778
"171",0.861477035852392,0.81603511823622,0.695413716871031,0.852138700474882
"172",0.85448154975852,0.81368219663763,0.678456980738433,0.850159960112253
"173",0.850656187081,0.814980017172064,0.689329549061621,0.850764617979049
"174",0.856934241696932,0.822576132719112,0.68928042561624,0.856163126420603
"175",0.862005850140331,0.809208043219731,0.679481695874991,0.848650886700895
"176",0.865922879875975,0.819881526218353,0.677633964895282,0.856567744955326
"177",0.867553854941063,0.83034631214609,0.677286263722976,0.848961657644346
"178",0.8702527650703,0.817582907212505,0.661034739908409,0.8500613109106
"179",0.868570271168639,0.813564557287376,0.646571612919677,0.851269533338257
"180",0.870552648587529,0.814384506070962,0.610355939101252,0.85157820048155
"181",0.863548849416885,0.793449848478654,0.61673112665148,0.843832066547619
"182",0.85365592770417,0.807999532308082,0.621234023997586,0.853122389394377
"183",0.852414627599506,0.815805782267829,0.637180407032319,0.856851370642901
"184",0.858438150938615,0.825364199112367,0.643711396537067,0.863530044553566
